time,id
183117,aaaaaaaa
133645,72c8970c
133651,e2889a0c
133658,e2ae200c
133708,e2ae200c
133712,e2889a0c
133720,e2889a0c
133728,72c8970c
133733,d2f3fb0b
133743,3274440c
133753,e282200c
133800,0cdc290b
133807,d2f3fb0b
133818,72c8970c
133829,e2ae200c
133852,0cdc290b
133912,8262f20b
133916,324bfa0b
133921,b27d1f0c
133926,2275f70b
133932,1249fb0b
134217,1249fb0b
134228,2275f70b
135534,1249fb0b
135537,1249fb0b
135802,1249fb0b
135804,1249fb0b
140234,1249fb0b
140237,1249fb0b
140504,1249fb0b
140511,45880daa
140513,45880daa
140518,ba71033c
140520,ba71033c
140522,ba71033c
140523,ba71033c
140742,1249fb0b
140744,1249fb0b
140754,1249fb0b
140800,b27d1f0c
140803,b27d1f0c
140811,1249fb0b
140843,1249fb0b
140846,1249fb0b
140949,45880daa
140952,45880daa
141032,45880daa
141039,45880daa
141614,ba71033c
141616,ba71033c
141628,ba71033c
154601,1249fb0b
154748,45880daa
154834,45880daa
154836,45880daa
154837,45880daa
154843,45880daa
155730,ba71033c
155731,ba71033c
155733,ba71033c
155735,ba71033c
155807,ba71033c
155809,45880daa
155821,ba71033c
155835,ba71033c
155836,ba71033c
160855,ba71033c
160857,ba71033c
160858,ba71033c
160933,ba71033c
163549,ba71033c
163552,45880daa
163640,ba71033c
164101,ba71033c
164102,ba71033c
164104,ba71033c
164105,ba71033c
164108,45880daa
164115,1249fb0b
164117,2275f70b
164121,b27d1f0c
164126,324bfa0b
164140,324bfa0b
164147,324bfa0b
164151,b27d1f0c
164157,2275f70b
164420,ba71033c
164423,45880daa
164428,324bfa0b
164431,b27d1f0c
164435,2275f70b
164440,1249fb0b
164444,8262f20b
164449,0cdc290b
164452,e282200c
164454,3274440c
164457,e2889a0c
164527,ba71033c
172127,ba71033c
172129,45880daa
172133,e2ae200c
172135,72c8970c
172138,d2f3fb0b
172143,e2889a0c
172219,45880daa
172220,ba71033c
172224,e2ae200c
172228,72c8970c
172231,d2f3fb0b
172234,e2889a0c
172258,ba71033c
172313,e2889a0c
172336,e2ae200c
172531,ba71033c
172533,45880daa
172537,e2889a0c
172539,d2f3fb0b
172544,72c8970c
172553,e2ae200c
172921,45880daa
172924,ba71033c
172927,e2889a0c
173413,45880daa
173416,ba71033c
173446,45880daa
173733,45880daa
173735,ba71033c
173738,e2889a0c
173741,d2f3fb0b
173838,45880daa
173851,72c8970c
173855,e2ae200c
173857,3274440c
173901,e282200c
173904,0cdc290b
173907,8262f20b
173912,1249fb0b
173922,45880daa
173931,1249fb0b
174055,2275f70b
174124,45880daa
174126,ba71033c
174130,e2889a0c
174132,d2f3fb0b
174134,72c8970c
174136,e2ae200c
174230,ba71033c
174529,ba71033c
174531,45880daa
174535,e2889a0c
174537,d2f3fb0b
174540,72c8970c
174543,e2ae200c
174546,3274440c
174548,e282200c
174552,0cdc290b
174555,8262f20b
174558,1249fb0b
174603,2275f70b
174606,b27d1f0c
174608,324bfa0b
174630,45880daa
174632,ba71033c
174634,e2889a0c
174635,324bfa0b
174637,b27d1f0c
174640,2275f70b
174641,1249fb0b
174643,8262f20b
174646,0cdc290b
174648,e282200c
174650,3274440c
174653,e2ae200c
174709,72c8970c
174713,d2f3fb0b
174716,e2889a0c
174806,ba71033c
174816,ba71033c
174825,d2f3fb0b
174846,45880daa
